state_name,state_code,district_name,district_code,subdistrict_name,subdistrict_code,cluster_name,village_name,udise_village_code,pincode,ward,school_name,udise_school_code,school_category,school_type,management,year_of_establishment,longitude,latitude,status,location_type,class_from,class_to,aff_board_sec,aff_board_h_sec,pre_primary,class_rooms,other_rooms,total_teachers,pre_primary_students,i_students,ii_students,iii_students,iv_students,v_students,vi_students,vii_students,viii_students,ix_students,x_students,xi_students,xii_students,class_students,class_with_pre_primary_students
"Andhra Pradesh","28","Nellore","None","Vidavalur","None","Zphs Vavilla","Vavilla","281916004","","","SRI SARASWATHI VIDHYA NIKETHAN    EM  SCHOOL","28191600407","Primary with Upper Primary","Co. Educational","Private Unaided (Recognized)","2001","80.0809","14.6042","Operational","Rural","1.0","7.0","","","0.0","7.0","0.0","6.0","0.0","12.0","41.0","26.0","20.0","24.0","14.0","8.0","0.0","0.0","0.0","0.0","0.0","145.0","145.0"
"Uttar Pradesh","09","Auraiya","122","Bhagyanagar","0862","Khanpur","Binpurapur","93206001","206244","","S.P. SHIVANAD INTER COLLEGE BHAGYANAGAR","9320600112","Secondary with Higher Secondary","Co. Educational","Private Unaided (Recognized)","2004","79.553144","26.640652","Operational","Rural","9.0","12.0","State Board","State Board","0.0","20.0","4.0","17.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","274.0","318.0","454.0","492.0","1538.0","1538.0"
"Karnataka","29","Tumakuru","548","Gubbi","5906","Mara Shettyhalli","Bennur","291802087","","","GLPS BENNUR","29180208701","Primary","Co. Educational","Department of Education","1959","76.815","13.274","Operational","Rural","1.0","5.0","","","0.0","2.0","0.0","2.0","0.0","3.0","2.0","2.0","0.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","12.0","12.0"
"West Bengal","19","Hooghly","312","Arambagh","2887","Arambagh-East","Maloypur-Ii/X","191208045","","","KESHABPUR HIGH SCHOOL","19120804502","Upper Pri. Secondary and Higher Sec","Co. Educational","Department of Education","1929","87.90671","22.88251","Operational","Rural","5.0","12.0","State Board","State Board","1.0","14.0","10.0","11.0","0.0","0.0","0.0","0.0","0.0","117.0","100.0","53.0","134.0","109.0","81.0","46.0","26.0","666.0","666.0"
"Madhya Pradesh","23","Indore","410","","None","Hss Kasturba Kanya","Ward No.57","232601057","452004","WARD NO.57","NAVEEN URDU GIRLS MS MOTI TABELA","23260105701","Primary with Upper Primary","Co. Educational","Department of Education","1925","75.85552","22.711939","Operational","Urban","1.0","8.0","","","0.0","9.0","0.0","3.0","0.0","13.0","17.0","18.0","13.0","15.0","12.0","5.0","10.0","0.0","0.0","0.0","0.0","103.0","103.0"
"West Bengal","19","24 Paraganas South","304","Kultali","2763","Merigunge J High Madrasah","Merigunj -1 -X","191819116","","","KACHIAMARA J B","19181911601","Primary","Co. Educational","Department of Education","1955","88.59978","22.18755","Operational","Rural","1.0","4.0","","","0.0","8.0","1.0","7.0","89.0","107.0","81.0","110.0","89.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","387.0","476.0"
"Chhattisgarh","22","Rajnandgaon","388","Rajnandgaon","3716","Mohandi","Vijaytala","220911142","","","GOVT. PRIMARY SCHOOL VIJAYTALA","22091114201","Primary","Co. Educational","Department of Education","1906","81.1636","21.3506","Operational","Rural","1.0","5.0","","","0.0","6.0","0.0","7.0","0.0","42.0","29.0","37.0","38.0","37.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","183.0","183.0"
"Karnataka","29","Koppal","543","Koppal","5876","Irakalagada","Hanumanahalli","290703065","","","GHPS  HANUMANAHALLI","29070306501","Primary with Upper Primary","Co. Educational","Department of Education","1961","76.355833","15.357013","Operational","Rural","1.0","7.0","","","0.0","5.0","0.0","7.0","0.0","30.0","25.0","31.0","33.0","31.0","25.0","23.0","0.0","0.0","0.0","0.0","0.0","198.0","198.0"
"Andhra Pradesh","28","Chittoor","503","Chittoor","4755","Mchs Greamspet","Chittoor(M)","282354902","","CHITTOOR(M)","DURGA PUBLIC SCHOOL","28235490286","Primary with Upper Primary","Co. Educational","Private Unaided (Recognized)","1995","79.0873","13.196","Operational","Urban","1.0","7.0","","","0.0","10.0","0.0","9.0","0.0","28.0","25.0","24.0","31.0","23.0","15.0","18.0","0.0","0.0","0.0","0.0","0.0","164.0","164.0"
"Madhya Pradesh","23","Balaghat","392","","None","Khamariya Hss New Jsk","Katang Jhari [Marari Tola]","234506007","481331","","GOVT. HSS KATANGJHARI 13-14","23450600704","Upper Pri. Secondary and Higher Sec","Co. Educational","Department of Education","2006","79.965406","21.839343","Operational","Rural","6.0","12.0","State Board","State Board","0.0","8.0","7.0","10.0","0.0","0.0","0.0","0.0","0.0","0.0","36.0","34.0","25.0","69.0","65.0","54.0","59.0","342.0","342.0"
"Madhya Pradesh","23","Singrauli","638","","None","Hrs Barka","Barka","235002210","486669","","PS CHHIRIHWA","23500221006","Primary","Co. Educational","Department of Education","1996","82.120617","24.157483","Operational","Rural","1.0","5.0","","","0.0","4.0","0.0","1.0","0.0","7.0","7.0","12.0","15.0","13.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","54.0","54.0"
"Madhya Pradesh","23","Raisen","421","Udaipura","3941","New Gghss Udaipura","Sultanganj","233407147","464770","","GMS SULTANGANJ","23340714701","Primary with Upper Primary","Co. Educational","Department of Education","1956","78.496263","23.009201","Operational","Rural","1.0","8.0","","","0.0","2.0","0.0","3.0","0.0","10.0","11.0","7.0","9.0","7.0","4.0","14.0","8.0","0.0","0.0","0.0","0.0","70.0","70.0"
"Uttar Pradesh","09","Muzaffarnagar","172","Shahpur","1435","Shoron","Shahpur","90205011","251318","SHAHPUR","ALLAMA IQBAL MEMORIAL PRIMARY SCHOOL","9020501104","Primary","Co. Educational","Private Unaided (Recognized)","2001","77.3544","29.2005","Operational","Urban","1.0","5.0","","","0.0","5.0","0.0","4.0","0.0","18.0","17.0","21.0","20.0","28.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","104.0","104.0"
"Gujarat","24","Surat","459","Chorasi","4233","Bhatha","Okha","242202009","395005","","SHREE SAKET HINDI PRIMARY SCHOOL","24220200904","Primary with Upper Primary","Co. Educational","Private Unaided (Recognized)","1992","72.726222","21.195314","Operational","Rural","1.0","8.0","","","1.0","9.0","0.0","4.0","0.0","9.0","13.0","18.0","24.0","26.0","18.0","20.0","22.0","0.0","0.0","0.0","0.0","150.0","150.0"
"Assam","18","Baksa","616","","None","Anandapur","Lakhipar","182403051","781333","","MAINAO ME","18240305103","Upper Primary only","Co. Educational","Government Aided","1995","91.43095","26.611583","Operational","Rural","6.0","8.0","","","0.0","3.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","10.0","12.0","10.0","0.0","0.0","0.0","0.0","32.0","32.0"
"Bihar","10","Patna","212","Pandarak","1964","M.S.Bakawan","Daulatpur","102823029","803214","","P.S. VASAWAN CHAK","10282302903","Primary","Co. Educational","Department of Education","1967","85.8062","25.3787","Operational","Rural","1.0","5.0","","","0.0","5.0","0.0","5.0","0.0","86.0","54.0","70.0","52.0","63.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","325.0","325.0"
"Rajasthan","08","Jodhpur","107","Sekhala","6831","Peeo6831- Mggs Khirjan Khas (220213)","Khirja Khas","81503001","342028","","SHRI VEER DURGADAS ADARSH","8150300111","Primary with Upper Primary","Co. Educational","Private Unaided (Recognized)","2009","72.37559","26.419809","Operational","Rural","1.0","8.0","","","0.0","10.0","0.0","5.0","0.0","19.0","24.0","35.0","8.0","6.0","25.0","17.0","25.0","0.0","0.0","0.0","0.0","159.0","159.0"
"Uttar Pradesh","09","Baghpat","124","","None","Mavikala","Mavikala","90803025","250345","","M.D. BAL VIDYALYA MAVIKALA","9080302503","Primary","Co. Educational","Private Unaided (Recognized)","1996","77.440145","29.021346","Operational","Rural","1.0","5.0","","","0.0","4.0","1.0","3.0","0.0","48.0","49.0","39.0","44.0","37.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","217.0","217.0"
"Uttar Pradesh","09","Bulandshahr","134","Unchagaon","1032","Uchagaon","Madiya Kalan","91105059","202398","","P.S. MADIYA KALAN","9110505901","Primary","Co. Educational","Department of Education","1995","77.962444","28.120211","Operational","Rural","1.0","5.0","","","0.0","5.0","1.0","3.0","0.0","20.0","35.0","21.0","18.0","12.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","106.0","106.0"
"Tamil Nadu","33","Dindigul","572","","None","Parali Pudhur","Paralipudur","331306025","","","PENIEL NURSERY AND PRIMARY SCHOOL ,VEMPARALI","33130602507","Primary","Co. Educational","Private Unaided (Recognized)","2008","78.176024","10.10055","Operational","Rural","0.0","5.0","","","0.0","4.0","1.0","9.0","39.0","33.0","36.0","31.0","41.0","30.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","171.0","210.0"
"Tamil Nadu","33","Namakkal","580","","None","Andipalayam","Molasi","330910006","","","PUES MOLASI","33091000602","Primary","Co. Educational","Department of Education","1929","77.85985","11.25989","Operational","Rural","1.0","5.0","","","0.0","5.0","0.0","3.0","0.0","12.0","13.0","15.0","16.0","17.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","73.0","73.0"
"Madhya Pradesh","23","Balaghat","392","Katangi","3747","Tekadi Ka Hs New Jsk","Heti Tola","234503088","481449","","GPS HETI TOLA","23450308801","Primary","Co. Educational","Department of Education","1997","79.733126","21.63577","Operational","Rural","1.0","5.0","","","0.0","2.0","0.0","2.0","0.0","3.0","3.0","4.0","3.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","16.0","16.0"
"Madhya Pradesh","23","Shajapur","430","Shujalpur","4006","Boy Hss Akodiya","Akodiya Mandi","232207077","465223","AKODIYA MANDI","SUN RAISE P S AKODIYA MANDI","23220707716","Pri. Upper Pri. and Secondary Only","Co. Educational","Private Unaided (Recognized)","2005","76.568444","23.621444","Operational","Urban","1.0","10.0","State Board","","0.0","15.0","15.0","15.0","47.0","47.0","48.0","41.0","48.0","47.0","50.0","49.0","33.0","30.0","25.0","0.0","0.0","418.0","465.0"
"Uttar Pradesh","09","Shahjahanpur","180","Sindhauli","1529","Kotabari","Sisora","92205019","242401","","MADARSA HASNI NIYAZI SISORA","9220501902","Primary","Co. Educational","Madarsa recognized (by Wakf board/Madarsa Board)","2011","80.355556","27.965278","Operational","Rural","1.0","5.0","","","0.0","5.0","0.0","4.0","0.0","9.0","11.0","12.0","14.0","15.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","61.0","61.0"
"Meghalaya","17","West Khasi Hills","279","","None","Laitdom","Mawpun","170403327","793120","","EVERGREEN L.P.SCHOOL MAWPUN","17040332701","Primary","Co. Educational","Private Unaided (Recognized)","2012","91.65","25.59778","Operational","Rural","1.0","5.0","","","0.0","1.0","0.0","2.0","11.0","7.0","5.0","6.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","22.0","33.0"
"Odisha","21","Kandhamal","359","Daringibadi","3424","Hatimunda (Ss) Pups","Hatimunda","212103111","","","MUNDADAKA NEW P.S.","21210311103","Primary","Co. Educational","Department of Education","2009","84.136827","19.736938","Operational","Rural","1.0","5.0","","","0.0","2.0","0.0","2.0","0.0","15.0","5.0","6.0","9.0","8.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","43.0","43.0"
"Rajasthan","08","Barmer","090","Panyla Kla","7472","Gups Fuleri (498167)","Dhobli","81705151","344033","","GPS GAJUO KI DHANI","8170515104","Primary","Co. Educational","Local body","2002","71.869699","25.362513","Operational","Rural","1.0","5.0","","","0.0","2.0","0.0","1.0","0.0","4.0","6.0","4.0","3.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","21.0","21.0"
"Odisha","21","Bhadrak","348","Basudevpur","3322","Balimeda Nodal","Panpur","210901042","","","PANPUR P.S.","21090104201","Primary","Co. Educational","Department of Education","1954","86.752808","21.024879","Operational","Rural","1.0","5.0","","","0.0","2.0","1.0","4.0","0.0","9.0","13.0","17.0","15.0","16.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","70.0","70.0"
"Rajasthan","08","Pratapgarh","629","Chhoti Sadri","0646","Peeo8092- Gsss Satola (224819)","Undavela","83312123","312403","","G.U.P.S.UNDAWELA","8331212301","Primary with Upper Primary","Co. Educational","Department of Education","1985","74.570345","24.34406","Operational","Rural","1.0","8.0","","","0.0","7.0","0.0","6.0","0.0","15.0","19.0","10.0","15.0","23.0","19.0","10.0","10.0","0.0","0.0","0.0","0.0","121.0","121.0"
"Rajasthan","08","Bikaner","093","Nokha","0634","Peeo2856- Gsss Morkhana (211432)","Morkhana Aathuna","80304108","334803","","SUNRISE ADARSH PUB. SCHOOL MORKHANA","8030410803","Primary with Upper Primary","Co. Educational","Private Unaided (Recognized)","2011","73.32101","28.01079","Operational","Rural","1.0","8.0","","","0.0","8.0","1.0","5.0","0.0","2.0","28.0","19.0","25.0","33.0","14.0","18.0","2.0","0.0","0.0","0.0","0.0","141.0","141.0"
"Telangana","36","Yadadri","None","Addagudur","None","Zphs Azimpeta","Veldevi","362016009","","","MPPS VELDEVI","36201600901","Primary","Co. Educational","Local body","1967","79.365755","17.348604","Operational","Rural","1.0","5.0","","","0.0","3.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chhattisgarh","22","Gariyaband","645","Mainpur","3704","Jhargaon","Jhargaon","222526109","","","GOVT. HIGHER SECONDARY SCHOOL JHARGAON","22252610908","Secondary with Higher Secondary","Co. Educational","Department of Education","2006","82.5253","20.0044","Operational","Rural","9.0","12.0","State Board","State Board","0.0","10.0","6.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","50.0","61.0","69.0","48.0","228.0","228.0"
"Gujarat","24","Panch Mahals","454","Kalol","4189","Bakrol","Ratanpura","241706050","389330","","RATANPURA P.SHALA","24170605002","Primary with Upper Primary","Co. Educational","Local body","1916","73.395606","22.593197","Operational","Rural","1.0","8.0","","","0.0","7.0","2.0","6.0","0.0","14.0","4.0","10.0","10.0","15.0","17.0","17.0","19.0","0.0","0.0","0.0","0.0","106.0","106.0"
"Haryana","06","Mahendragarh","069","Narnaul","0526","Gsss Narnaul","Narnaul","61604062","123001","NARNAUL","DAYANAND BAL VIDYA MANDIR NARNAUL","6160406252","Primary","Co. Educational","Private Unaided (Recognized)","1999","76.101111","28.045555","Operational","Urban","1.0","5.0","","","4.0","7.0","0.0","4.0","0.0","8.0","7.0","5.0","6.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","32.0","32.0"
"Maharashtra","27","Palghar","665","Wada","4603","Moj","Varai (Bk)","273619136","421303","","Z.P.SCHOOL, VARAI (BK)","27361913601","Primary","Co. Educational","Local body","1993","73.205315","19.633124","Operational","Rural","1.0","5.0","","","0.0","1.0","0.0","1.0","0.0","3.0","4.0","4.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13.0","13.0"
"Gujarat","24","Mahesana","451","","None","Meu","Meu","240404094","382730","","ARBUDANAGAR (MEU) PRI SCHOOL","24040409406","Primary with Upper Primary","Co. Educational","Local body","2002","72.516497","23.507078","Operational","Rural","1.0","8.0","","","0.0","9.0","0.0","8.0","0.0","24.0","27.0","27.0","19.0","24.0","17.0","18.0","22.0","0.0","0.0","0.0","0.0","178.0","178.0"
"Gujarat","24","Bhavnagar","443","Palitana","4105","Moti Rajsthali P. School","Jamanvava","241409024","364270","","JAMANVAV P. SCHOOL","24140902401","Primary with Upper Primary","Co. Educational","Local body","1889","71.804797","21.569883","Operational","Rural","1.0","8.0","","","0.0","8.0","1.0","6.0","0.0","14.0","18.0","12.0","9.0","12.0","18.0","16.0","16.0","0.0","0.0","0.0","0.0","115.0","115.0"
"Maharashtra","27","Gadchiroli","475","Dhanora","4376","Murumgaon","Umarpal","271204075","442606","","Z. P. PRM. SCHOOL UMARPAL","27120407501","Primary","Co. Educational","Local body","1992","80.206285","20.287888","Operational","Rural","1.0","4.0","","","0.0","2.0","0.0","2.0","0.0","3.0","2.0","4.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","12.0","12.0"
"Odisha","21","Cuttack","350","Mahanga","3339","Achyutpur Ps","Gopalpur","211208050","","","BANGIRAJGOPALPUR UPS","21120805002","Primary with Upper Primary","Co. Educational","Department of Education","1917","86.244995","20.519621","Operational","Rural","1.0","8.0","","","0.0","5.0","3.0","8.0","0.0","4.0","4.0","9.0","11.0","15.0","43.0","35.0","48.0","0.0","0.0","0.0","0.0","169.0","169.0"
"Chhattisgarh","22","Raigarh","386","Pussore","3689","Pussore","Pussore","220414083","","PUSSORE","BOYS MS PUSSORE","22041408310","Upper Primary only","Boys Only","Department of Education","1962","83.3811","21.76","Operational","Urban","6.0","8.0","","","0.0","3.0","1.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","19.0","19.0","13.0","0.0","0.0","0.0","0.0","51.0","51.0"
"Uttar Pradesh","09","Sitapur","183","Hargaon","1554","Haidarpur","Hargaon","92405119","261121","","SHISHU VIDYA KUNJ","9240511908","Primary","Co. Educational","Private Unaided (Recognized)","1982","80.72961","27.78134","Operational","Rural","1.0","5.0","","","0.0","5.0","0.0","4.0","0.0","32.0","24.0","12.0","19.0","12.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","99.0","99.0"
"Maharashtra","27","Thane","497","Kalyan","4593","Sonarpada","Desalepada","272105084","421201","DESALEPADA","GARDIYAN SCHOOL NANDIVALI","27210508406","Pri. with Upper Pri. Sec. and H.Sec.","Co. Educational","Private Unaided (Recognized)","2002","73.086347","19.195159","Operational","Urban","1.0","12.0","ICSE","State Board","1.0","24.0","21.0","40.0","197.0","190.0","153.0","142.0","137.0","160.0","155.0","142.0","103.0","74.0","52.0","0.0","0.0","1308.0","1505.0"
"Bihar","10","Darbhanga","195","","None","Ms Parsarma","Kothram","101317044","847203","","MADRASA ISLAMIA TALIMUL BANAT KOTHRAM","10131704403","Primary with Upper Primary","Co. Educational","Madarsa recognized (by Wakf board/Madarsa Board)","1982","86.340218","25.92149","Operational","Rural","1.0","8.0","","","0.0","8.0","0.0","6.0","0.0","34.0","28.0","25.0","24.0","23.0","29.0","29.0","27.0","0.0","0.0","0.0","0.0","219.0","219.0"
"Odisha","21","Mayurbhanj","365","Rairangpur","3503","Pt Rn Murmu Ugups ","Pokharia","210717078","","","POKHARIA GOVT. PS","21071707801","Primary","Co. Educational","Department of Education","1974","86.135695","22.311086","Operational","Rural","1.0","5.0","","","0.0","4.0","2.0","3.0","0.0","13.0","11.0","6.0","6.0","9.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","45.0","45.0"
"Odisha","21","Kandhamal","359","Tumudibandh","3433","Tumudibandh Ups","Palam","212112216","","","NILINGIPADAR PUPS","21211221601","Primary with Upper Primary","Co. Educational","Department of Education","1986","83.69041","19.94153","Operational","Rural","1.0","8.0","","","0.0","3.0","0.0","6.0","0.0","1.0","1.0","1.0","2.0","1.0","6.0","2.0","1.0","0.0","0.0","0.0","0.0","15.0","15.0"
"Karnataka","29","Tumakuru","548","Gubbi","5906","Alilughatta","Haradagere","291802262","","","GHS  HARADAGERE","29180226203","Secondary Only","Co. Educational","Department of Education","1994","76.793","13.414","Operational","Rural","8.0","10.0","State Board","","0.0","3.0","4.0","7.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","44.0","34.0","42.0","0.0","0.0","120.0","120.0"
"Tamil Nadu","33","Chennai","568","Mylapore","None","Ghssvelachery Cent-2","Ward 110","330210004","","WARD 110","ST ANTONY'S PRIMARY SCHOOL","33021000401","Primary","Co. Educational","Government Aided","1981","80.254781","13.062167","Operational","Urban","1.0","5.0","","","1.0","8.0","1.0","6.0","0.0","8.0","1.0","5.0","2.0","8.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","24.0","24.0"
"Chhattisgarh","22","Kanker","381","Antagarh","3658","Bhainsasurkarregaon","Chindbhat","221403236","","","GOVT. PRIMARY SCHOOL CHINDBHAT","22140323601","Primary","Co. Educational","Department of Education","1998","81.1033","20.09","Operational","Rural","1.0","5.0","","","0.0","2.0","0.0","2.0","0.0","4.0","5.0","4.0","5.0","7.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","25.0","25.0"
"Rajasthan","08","Karauli","108","","None","Peeo6979- Gsss Gangarampura   Gurdeh (212702)","Gurdeh","80906008","322242","","GPS  CHOKI KA PURA","8090600804","Primary","Co. Educational","Local body","1999","77.188849","26.498109","Operational","Rural","1.0","5.0","","","0.0","5.0","5.0","2.0","0.0","3.0","3.0","6.0","9.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","27.0","27.0"
"Madhya Pradesh","23","Betul","394","Ghoradongri","3767","Hss Ghoradongari","Ratamati","233507116","460443","","UEGS GHUMMU DHANA","23350711604","Primary","Co. Educational","Tribal Welfare Department","2002","78.002217","22.139229","Operational","Rural","1.0","5.0","","","0.0","2.0","0.0","2.0","0.0","3.0","3.0","4.0","5.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","18.0","18.0"
"Madhya Pradesh","23","Anuppur","390","","None","Hs Rajendragram","Dhanpuri","234711024","484881","","PS DHANPURI","23471102401","Primary","Co. Educational","Tribal Welfare Department","1963","81.594951","22.970793","Operational","Rural","1.0","5.0","","","0.0","2.0","0.0","2.0","0.0","12.0","7.0","8.0","13.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","44.0","44.0"
"Uttar Pradesh","09","Jyotiba Phule Nagar (Amroha)","None","Joya","None","Sibora","Didoli","90621078","244222","","GAYATRI VIDHYA PEETH,DIDOLI","9062107805","Upper Primary only","Co. Educational","Private Unaided (Recognized)","2002","79.4167","25.7333","Operational","Rural","6.0","8.0","","","0.0","8.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","22.0","15.0","13.0","0.0","0.0","0.0","0.0","50.0","50.0"
"Uttar Pradesh","09","Azamgarh","123","Ahiraula","0866","Paramishrauli","Chaura Khara","96113085","223226","","P.S. CHAUPHAL","9611308501","Primary","Co. Educational","Department of Education","2006","82.272646","26.137867","Operational","Rural","1.0","5.0","","","0.0","4.0","3.0","6.0","0.0","9.0","14.0","16.0","22.0","18.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","79.0","79.0"
"West Bengal","19","Purba Medinipur","None","Bhagwanpur -Ii","None","Mugberia","Itaberia / Ix","191920047","","","PANCHBAJARI PRY. SCHOOL","19192004701","Primary","Co. Educational","Department of Education","1901","87.64697","22.03442","Operational","Rural","1.0","4.0","","","0.0","3.0","1.0","2.0","11.0","18.0","18.0","8.0","7.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","51.0","62.0"
"West Bengal","19","Dinajpur Dakshin","310","Balurghat","2870","Badamail Lp High School","Amritakhanda-Iii","190506040","","","SANKARPUR SSK","19050604002","Primary","Co. Educational","Department of Education","2001","88.8245","25.2511","Operational","Rural","1.0","4.0","","","0.0","2.0","2.0","2.0","6.0","4.0","8.0","5.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","22.0","28.0"
"Madhya Pradesh","23","Bhopal","396","","None","Nishatpura Govt, Hss","Ward No.70 Nagar Nigam Bhopal","233204032","462001","WARD NO.70 NAGAR NIGAM BHOPAL","PVT HSS (1-12) CENTRALFIALS HR. SEC. SCHOOL, KAROND BHOPAL (7312)","23320403247","Pri. with Upper Pri. Sec. and H.Sec.","Co. Educational","Private Unaided (Recognized)","1996","77.401959","23.294686","Operational","Urban","1.0","12.0","State Board","State Board","0.0","15.0","15.0","15.0","30.0","26.0","27.0","19.0","29.0","25.0","31.0","22.0","14.0","13.0","13.0","4.0","8.0","231.0","261.0"
"Rajasthan","08","Alwar","087","Bansur","0574","Peeo287- Gss Bahram Ka Bas (224988)","Behram Ka Bas","80609097","301416","","GOVT. SEC. SCHOOL  BAHRAM KA BAS","8060909701","Pri. Upper Pri. and Secondary Only","Co. Educational","Department of Education","1958","76.415038","27.659603","Operational","Rural","1.0","10.0","State Board","","1.0","10.0","10.0","11.0","0.0","12.0","7.0","5.0","5.0","4.0","20.0","12.0","12.0","19.0","14.0","0.0","0.0","110.0","110.0"
"Assam","18","Karimganj","293","","None","Veterbond-2","Veterbond - 3","182204246","788736","","530NO. KALIBARI LPS","18220424602","Primary","Co. Educational","Department of Education","1960","92.439467","24.44355","Operational","Rural","1.0","5.0","","","0.0","1.0","1.0","1.0","4.0","9.0","5.0","6.0","10.0","11.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","41.0","45.0"
"Rajasthan","08","Dholpur","098","Bari","0665","Peeo3881- Gsss Abdulpur (217543)","Budhpura","80802153","328021","","GOVT . P.S. BHADDHA KA PURA","8080215301","Primary","Co. Educational","Local body","1999","77.720659","26.686624","Operational","Rural","1.0","5.0","","","0.0","3.0","0.0","2.0","0.0","8.0","15.0","5.0","6.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","37.0","37.0"
"Jharkhand","20","Ramgarh","607","Patratu","3174","M.S. Kori","Jobo","202413059","829105","","UPG M.S. JOBO","20241305901","Primary with Upper Primary","Co. Educational","Department of Education","1976","85.427861","23.574583","Operational","Rural","1.0","8.0","","","0.0","11.0","0.0","6.0","0.0","3.0","14.0","28.0","22.0","23.0","21.0","30.0","20.0","0.0","0.0","0.0","0.0","161.0","161.0"
"Uttar Pradesh","09","Siddharthnagar","None","Itava","None","Indarigrant","Indrigrant","95407061","272192","","ADARSH KRISAK P.M.V.INDRIGRANT","9540706103","Upper Primary only","Co. Educational","Government Aided","1979","82.583611","27.396389","Operational","Rural","6.0","8.0","","","0.0","11.0","0.0","7.0","0.0","0.0","0.0","0.0","0.0","0.0","25.0","39.0","52.0","0.0","0.0","0.0","0.0","116.0","116.0"
"Uttar Pradesh","09","Gorakhpur","148","Sahjanawa","1185","Harpur","Harpur","95805077","273209","","P.S. ANANTPUR","9580507705","Primary","Co. Educational","Department of Education","2006","83.157323","26.704448","Operational","Rural","1.0","5.0","","","0.0","4.0","0.0","3.0","0.0","15.0","25.0","24.0","25.0","16.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","105.0","105.0"
"Uttar Pradesh","09","Muzaffarnagar","172","","None","Nagar Panchayat Sadar","Muzaffar Nagar","90215001","251002","MUZAFFAR NAGAR","GURU GOBIND SINGH JHS","9021500169","Primary with Upper Primary","Co. Educational","Private Unaided (Recognized)","1967","77.531998","29.807917","Operational","Urban","1.0","8.0","","","0.0","20.0","20.0","7.0","0.0","41.0","49.0","47.0","54.0","59.0","47.0","67.0","64.0","0.0","0.0","0.0","0.0","428.0","428.0"
"Himachal Pradesh","02","Chamba","016","","None","Dehgran","Dehgran","20113043","176316","","GPS DEHGRAN-I","2011304302","Primary","Co. Educational","Department of Education","1956","76.060556","32.8425","Operational","Rural","1.0","5.0","","","0.0","5.0","0.0","5.0","0.0","20.0","23.0","18.0","17.0","22.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","100.0","100.0"
"Chhattisgarh","22","Bilaspur","375","","None","Crcpendra","Bacharwar","220722029","","","GOVT. UPMS  NAVAPARA BACHARWAR (SSA)","22072202910","Upper Primary only","Co. Educational","Department of Education","2003","81.9483","22.8019","Operational","Rural","6.0","8.0","","","0.0","3.0","1.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","21.0","22.0","21.0","0.0","0.0","0.0","0.0","64.0","64.0"
