state_name,state_code,district_name,district_code,subdistrict_name,subdistrict_code,cluster_name,village_name,udise_village_code,pincode,ward,school_name,udise_school_code,school_category,school_type,management,year_of_establishment,longitude,latitude,status,location_type,class_from,class_to,aff_board_sec,aff_board_h_sec,pre_primary,class_rooms,other_rooms,total_teachers,pre_primary_students,i_students,ii_students,iii_students,iv_students,v_students,vi_students,vii_students,viii_students,ix_students,x_students,xi_students,xii_students,class_students,class_with_pre_primary_students
"Gujarat","24","Valsad","462","Dharampur","4269","Ambatalat","Ambatalat","242504033","396051","","SAMARMAL UPLA F. VARGSHALA","24250403304","Primary","Co. Educational","Local body","2002","73.271908","20.578669","Operational","Rural","1.0","5.0","","","0.0","3.0","0.0","3.0","0.0","12.0","17.0","12.0","18.0","12.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","71.0","71.0"
"West Bengal","19","24 Paraganas North","303","Gaighata","2734","Dharampur - I","Dharmapur - I/V","191122005","","","KALASIMA SWAMI V VIDYAPITH","19112200501","Upper Pri. Secondary and Higher Sec","Co. Educational","Department of Education","1960","88.69449","22.89068","Operational","Rural","5.0","12.0","State Board","State Board","0.0","34.0","5.0","33.0","0.0","0.0","0.0","0.0","0.0","161.0","216.0","191.0","103.0","252.0","174.0","193.0","161.0","1451.0","1451.0"
"Telangana","36","Ranga Reddy","518","Serilingampally","7302","Zphs Sherilingampally","Serilingampally","362302018","","Serilingampally","SUPAARWIIZ JR COLLEGE","36230201857","Higher Secondary only/Jr. College","Co. Educational","Private Unaided (Recognized)","2012","78.319008","17.49432","Operational","Urban","11.0","12.0","","State Board","2.0","12.0","15.0","10.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","83.0","142.0","225.0","225.0"
"Uttarakhand","05","Pauri","None","Ekeshwar","None","Nandakhal","Syoli","50606057","246162","","GOVT PS SYOLI","5060605701","Primary","Co. Educational","Department of Education","1963","78.8464","29.9583","Operational","Rural","1.0","5.0","","","0.0","2.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"Assam","18","Lakhimpur","295","","None","Mornoi Ext. 2","Karanga Balijan","181202081","787055","","KARANGA BALIJAN LPS","18120208101","Primary","Co. Educational","Department of Education","1970","94.3509","27.227667","Operational","Rural","1.0","5.0","","","0.0","3.0","0.0","2.0","0.0","10.0","4.0","1.0","9.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","25.0","25.0"
"Bihar","10","Rohtas","215","Tilouthu","2028","M S Hurka","Banshi Bigha","103214264","821312","","NEW P S BANSHI BIGHA (2007-08)","10321426401","Primary","Co. Educational","Department of Education","2007","84.098706","24.865786","Operational","Rural","1.0","5.0","","","0.0","4.0","0.0","2.0","0.0","21.0","12.0","8.0","10.0","7.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","58.0","58.0"
"West Bengal","19","Paschim Medinipur","None","Kharagpur(Mn)","None","Saraswati Hindi S Pry Crc","Ward-17","192031017","","WARD-17","SUBHASHPALLY JANAKALYAN VIDYA","19203101704","Upper Pri. Secondary and Higher Sec","Co. Educational","Department of Education","1955","87.30703","22.34499","Operational","Urban","5.0","12.0","State Board","State Board","0.0","23.0","6.0","27.0","0.0","0.0","0.0","0.0","0.0","13.0","22.0","25.0","21.0","28.0","21.0","72.0","87.0","289.0","289.0"
"Assam","18","Jorhat","290","Jorhat","2591","Mulagabharu","Hatijuri Garden","181703093","785634","","HATIJURI GARDEN LP","18170309301","Primary","Co. Educational","Department of Education","1964","94.31585","26.627733","Operational","Rural","1.0","5.0","","","0.0","4.0","2.0","3.0","10.0","13.0","10.0","18.0","21.0","21.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","83.0","93.0"
"Uttar Pradesh","09","Varanasi","187","","None","Sikraul","Sikaraul--23","96709098","221002","SIKARAUL--23","R.B.S. ACADEMY BHAKATI NAGAR PANDEYPUR","9670909809","Primary with Upper Primary","Co. Educational","Private Unaided (Recognized)","2015","82.994652","25.36661","Operational","Urban","1.0","8.0","","","0.0","12.0","2.0","5.0","35.0","23.0","23.0","20.0","24.0","14.0","17.0","0.0","0.0","0.0","0.0","0.0","0.0","121.0","156.0"
"Maharashtra","27","Solapur","496","Sangola","4586","Khavaspur","Lotewadi- New","273009062","413306","","ZPPS  LOTEWADI--NEW","27300906201","Primary","Co. Educational","Local body","1936","74.988227","17.487657","Operational","Rural","1.0","4.0","","","0.0","8.0","3.0","4.0","0.0","31.0","23.0","20.0","21.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","95.0","95.0"
